time,X,Y,Vx,Vy,r,yaw,steering_deg,throttle,brake,ax,ay
0,0,0,27.4110735986531,0,0,0,0,0,0.200000000000006,-10.4951373165341,-0.00228629625717115
0.01,0,0,27.4110735986531,0,0,0,-4.92158561108499e-05,0,0.200000000000007,-0.469201672464983,8.53340855344056e-06
0.02,0.273902057617471,-1.12073097036252e-08,27.3832154297595,1.55288016358379e-06,-1.98204493091745e-06,-1.07260744172078e-07,0.000179428162039752,0,0.200000000000009,-0.305325022449175,5.90573484916359e-06
0.03,0.547720418908169,-2.54651285230362e-08,27.380635213648,1.17439589356027e-06,2.2804970468148e-06,-9.56611064319526e-08,-0.000128533779614984,0,0.200000000000016,-0.287324503839721,3.4601031816403e-05
0.04,0.821515404216952,-3.99033326930987e-08,27.3783629029996,5.52514791100868e-07,2.29096245522494e-06,-7.24774430586372e-08,-0.000369696221495691,0,0.200000000000014,-0.269542923832968,4.73812316400524e-05
0.05,1.09528763619471,-5.38338025299942e-08,27.376080331344,1.85004834894189e-08,2.24578655060181e-06,-4.9835421708654e-08,-0.000572523901024144,0,0.199999999999994,-0.256359557085799,2.38162884168598e-05
0.06,1.36903694497253,-6.6882317338709e-08,27.3737783277043,-5.21463329486493e-07,2.17170982923623e-06,-2.76529608820661e-08,-0.000743112992943979,0,0.19999999999999,-0.249061140720655,-1.29061215461935e-05
0.07,1.64276315044852,-7.98374320332388e-08,27.3714607106297,-1.14761484691962e-06,1.93949275069825e-06,-6.94071233259006e-09,-0.000867124366227783,0,0.200000000000023,-0.244876115271075,-4.18824365079313e-05
0.08,1.91646612838088,-9.41147846699765e-08,27.3691337834398,-1.82709961074028e-06,1.53316934696985e-06,1.05487305214977e-08,-0.000930613088021099,0,0.200000000000015,-0.240221653675229,-5.69854030767271e-05
0.09,2.190145808789,-1.10941075227873e-07,27.3668015528277,-2.47706752755272e-06,1.00574235931287e-06,2.33174483719371e-08,-0.000928459581726665,0,0.199999999999983,-0.233215141212961,-5.89900933954035e-05
0.1,2.46380214372348,-1.31066726038705e-07,27.3644645283219,-3.02490917993232e-06,4.22670463447628e-07,3.04801480506305e-08,-0.000863009618824236,0,0.200000000000007,-0.22431454748604,-5.11398148995718e-05
