time,X,Y,Vx,Vy,r,yaw,steering_deg,throttle,brake,ax,ay
0,0,0,26.5272803595083,0,0,0,0,0,0.199999999999995,-10.4698648026884,-0.00228629625717109
0.01,0,0,26.5272803595083,0,0,0,2.51564544789357e-06,0,0.199999999999998,-0.424172749809295,9.65122113997919e-06
0.02,0.265069299030295,-1.09174195073325e-08,26.5003337075844,1.33676773228555e-06,-1.48884297823257e-06,-1.01025302917327e-07,0.000281321199629978,0,0.199999999999984,-0.282459661795156,9.71575561370943e-06
0.03,0.53005986829919,-2.4637560323929e-08,26.4979325282262,9.54327931613554e-07,2.22537023752458e-06,-8.81900649144051e-08,0.000117487017862833,0,0.199999999999993,-0.265749122677987,4.22588533613643e-05
0.04,0.79502847801764,-3.83438438207509e-08,26.495789975684,3.97834396849693e-07,2.21484577506571e-06,-6.57692518771055e-08,2.74380260389377e-05,0,0.199999999999992,-0.249091555188713,6.39915643516598e-05
0.05,1.05997562715643,-5.11792070282541e-08,26.4936368472717,-4.9684522406581e-08,2.21698684854341e-06,-4.36952960981757e-08,-2.98845744568776e-05,0,0.199999999999995,-0.237161269295793,5.51786840101696e-05
0.06,1.32490115292779,-6.23720095567398e-08,26.4914654241917,-4.69838829659486e-07,2.25547621292448e-06,-2.13067615802802e-08,-7.37026771884942e-05,0,0.200000000000004,-0.231077437784515,3.402971725195e-05
0.07,1.58980488775149,-7.20419226045362e-08,26.4892797050061,-9.42189403553765e-07,2.22378505225366e-06,1.16842423285324e-09,-0.00010235780119742,0,0.200000000000002,-0.227971101199137,1.68621371839407e-05
0.08,1.8546867204932,-8.08158031481125e-08,26.4870859543527,-1.4579072934583e-06,2.10345347100068e-06,2.28670335897935e-08,-0.000111788679287468,0,0.199999999999985,-0.224255489579982,7.81866638250339e-06
0.09,2.11954659319899,-8.92117652668708e-08,26.484888012294,-1.97062654156812e-06,1.92549714270247e-06,4.30445255801472e-08,-0.000102749429797902,0,0.199999999999994,-0.21808559200348,5.34102372423759e-06
0.1,2.3843844681254,-9.74591130446988e-08,26.4826862092497,-2.442122963985e-06,1.7244861775773e-06,6.13019912481147e-08,-7.95908551661115e-05,0,0.199999999999998,-0.209966770302198,6.84439200539299e-06
0.11,2.64920029850159,-1.05557789004576e-07,26.4804787693475,-2.8520689060198e-06,1.52422881675149e-06,7.75379273261411e-08,-4.77317066543741e-05,0,0.199999999999998,-0.201677893540855,1.03300860847733e-05
0.12,2.91399401894058,-1.13373917232232e-07,26.4782640361717,-3.19266827332633e-06,1.33876931716412e-06,9.18367796998837e-08,-1.22569820541858e-05,0,0.199999999999981,-0.19488205716431,1.42917528433681e-05
0.13,3.17876555409068,-1.20695743979277e-07,26.4760418057244,-3.46317025602922e-06,1.17651355852149e-06,1.04392277438299e-07,2.25312691778695e-05,0,0.200000000000002,-0.190236342651394,1.7717547851148e-05
0.14,3.44351483422362,-1.27269827366149e-07,26.4738133292736,-3.66772378619531e-06,1.0407378998655e-06,1.15455888277079e-07,5.33391515614916e-05,0,0.200000000000001,-0.187383823381884,2.01017666857429e-05
0.15,3.70824180638144,-1.32833184962508e-07,26.4715805267024,-3.81437266232721e-06,9.30958590369991e-07,1.25293811485321e-07,7.7986520496723e-05,0,0.199999999999995,-0.185492183891064,2.11645704807222e-05
0.16,3.97294643606095,-1.37146011543224e-07,26.4693450713625,-3.9125148945198e-06,8.44335193793508e-07,1.34152484211098e-07,9.53348459708313e-05,0,0.199999999999993,-0.183847620916607,2.09050594232182e-05
