time,X,Y,Vx,Vy,r,yaw,steering_deg,throttle,brake,ax,ay
0,0,0,24.5794972046285,0,0,0,0,0,0.200000000000017,-10.4170909035028,-0.0022862962571681
0.01,0,0,24.5794972046285,0,0,0,-1.5634360701241e-05,0,0.199999999999986,-0.33434729021506,1.20609325273474e-05
0.02,0.245603179837319,-1.02586977929033e-08,24.5545656243458,9.06915945513585e-07,-5.48502311642844e-07,-8.74706533392183e-08,0.00013387502547153,0,0.199999999999995,-0.235011922001301,1.2232886167268e-05
0.03,0.491138109618623,-2.27909073975283e-08,24.5525238478152,5.35255232731864e-07,2.07754957165944e-06,-7.27295443183557e-08,-4.15158665728382e-05,0,0.199999999999977,-0.220797065499882,3.51748504976664e-05
0.04,0.736653988276257,-3.51265687238312e-08,24.5506517016342,7.48362492453389e-08,1.99605371464444e-06,-5.22599273681872e-08,-0.000157762577615984,0,0.199999999999996,-0.206503394514406,4.58189653396252e-05
0.05,0.982151104968481,-4.6757929154003e-08,24.5487689761174,-3.10523908132296e-07,1.93743286544914e-06,-3.26361866187735e-08,-0.000241115319325211,0,0.200000000000009,-0.197206429582084,3.24366525896288e-05
0.06,1.22762931398118,-5.7380660611057e-08,24.5468703936849,-6.88723068229678e-07,1.87562483662565e-06,-1.35228621540028e-08,-0.000301125096168229,0,0.200000000000001,-0.193661542808949,1.13476606020383e-05
0.07,1.47308847427799,-6.74045536584608e-08,24.5449602918652,-1.10974361664173e-06,1.73065887088698e-06,4.58997755621056e-09,-0.000332234968823325,0,0.199999999999999,-0.19280007794171,-4.10180251428639e-06
0.08,1.71852850227696,-7.75558147933498e-08,24.5430448321827,-1.55255714462015e-06,1.49919482738957e-06,2.07966613811139e-08,-0.00032856737614167,0,0.200000000000006,-0.191030574001937,-1.07336852310564e-05
0.09,1.9639493650203,-8.83772089149257e-08,24.5411274945724,-1.9701698726443e-06,1.2177319310745e-06,3.44061180759556e-08,-0.000288993142660353,0,0.200000000000007,-0.186594734541912,-9.85250917564295e-06
0.1,2.20935104600361,-1.00100723770318e-07,24.5392082305036,-2.32536511515348e-06,9.25837345246627e-07,4.51188119911127e-08,-0.000215779789599408,0,0.200000000000005,-0.180100032833293,-3.8390783336377e-06
