time,X,Y,Vx,Vy,r,yaw,steering_deg,throttle,brake,ax,ay
0,0,0,23.9918013633277,0,0,0,0,0,0.199999999999999,-10.4019576463671,-0.00228629625717106
0.01,0,0,23.9918013633277,0,0,0,-8.22999937520161e-06,0,0.200000000000002,-0.309795574716943,1.27763756208469e-05
0.02,0.239729842270759,-1.00549745952807e-08,23.9674790537762,7.89885304131594e-07,-3.04955411451295e-07,-8.34493643481429e-08,0.000130227694763119,0,0.20000000000001,-0.221514524663,1.3416079616359e-05
0.03,0.47939446506096,-2.22251751423723e-08,23.9655366346626,4.27547683392091e-07,2.02765625494629e-06,-6.83387930101747e-08,-1.9014347124196e-05,0,0.200000000000008,-0.20793513152625,3.54345232647423e-05
0.04,0.719040858964316,-3.41287669297735e-08,23.9637418547825,-1.19759208378684e-09,1.93550362762905e-06,-4.84528048651318e-08,-0.000111704436964779,0,0.20000000000001,-0.194324736290855,4.59293537503277e-05
0.05,0.958669264524078,-4.52840166186079e-08,23.9619366996433,-3.57162185822336e-07,1.87683466077601e-06,-2.94358475738372e-08,-0.000173345447833818,0,0.200000000000011,-0.1857874387792,3.45448223937365e-05
0.06,1.19827954154356,-5.53866121956332e-08,23.9601164023209,-7.03070621070457e-07,1.82094543412802e-06,-1.09085271106838e-08,-0.00021375910897388,0,0.199999999999989,-0.182971407127882,1.62539461922833e-05
0.07,1.43787155670191,-6.47673184408982e-08,23.9582853882876,-1.08408451172261e-06,1.6963445390645e-06,6.74557081719657e-09,-0.000228591955636701,0,0.199999999999991,-0.182754554694654,3.06564399811849e-06
0.08,1.67744523437355,-7.40252320224874e-08,23.9564497815852,-1.48191596381143e-06,1.50092491925798e-06,2.27782218503883e-08,-0.000213111178440085,0,0.199999999999987,-0.181537358479068,-2.25369546231939e-06
0.09,1.91700054870802,-8.35865135658167e-08,23.9546129644572,-1.85598586825449e-06,1.26758025581571e-06,3.66372989808651e-08,-0.000166520525388587,0,0.199999999999984,-0.177595192343678,-1.05212308277448e-06
0.1,2.15653748930821,-9.35976785908796e-08,23.9527747708891,-2.17497328645654e-06,1.03114810260178e-06,4.81205810803662e-08,-9.08214013088527e-05,0,0.199999999999984,-0.171557229725913,4.55590576793122e-06
0.11,2.39605603235455,-1.03974579431045e-07,23.9509330827195,-2.42256772675526e-06,8.17922759806497e-07,5.73376661862484e-08,1.11269017334219e-05,0,0.199999999999998,-0.165272257264923,1.28034391483072e-05
