time,X,Y,Vx,Vy,r,yaw,steering_deg,throttle,brake,ax,ay
0,0,0,26.2796159047525,0,0,0,0,0,0.200000000000006,-10.4629312726388,-0.00228629625717071
0.01,0,0,26.2796159047525,0,0,0,-3.62097252651674e-05,0,0.20000000000001,-0.412023532733488,9.95967022549138e-06
0.02,0.262594119568694,-1.08349637652672e-08,26.2529250253408,1.27858908822376e-06,-1.35812837859812e-06,-9.928568132047e-08,0.000155610808000891,0,0.200000000000019,-0.276200071285411,8.55734703039446e-06
0.03,0.525110878177937,-2.44080104724839e-08,26.2505722038209,8.94260088033512e-07,2.20754347973801e-06,-8.61467139447833e-08,-9.82962512208881e-05,0,0.199999999999988,-0.259835177629852,3.46900684722938e-05
0.04,0.787606063126997,-3.80029307972213e-08,26.2484652238207,3.38507752400641e-07,2.17267997570593e-06,-6.40239226051884e-08,-0.000287320865181897,0,0.19999999999998,-0.243486560857684,4.63186959016519e-05
0.05,1.05008014211891,-5.10147653859126e-08,26.2463476131558,-1.34718302987709e-07,2.11939433593497e-06,-4.26056495223628e-08,-0.000439310852149213,0,0.200000000000002,-0.231900912427979,2.6922247426455e-05
0.06,1.31253295441671,-6.31117679283034e-08,26.2442120232829,-6.0883887854051e-07,2.0468592307992e-06,-2.16983741541276e-08,-0.000562284770108015,0,0.199999999999984,-0.226150773123245,-3.13206267479324e-06
0.07,1.57496433591101,-7.49324190122888e-08,26.2420624994699,-1.15056449437424e-06,1.84713156716599e-06,-2.10362802861408e-09,-0.000645980055890282,0,0.199999999999997,-0.223341598488731,-2.61623100315373e-05
0.08,1.83737417907709,-8.76016878758111e-08,26.2399052944222,-1.73148832591834e-06,1.51068156514492e-06,1.47819999745437e-08,-0.000680272317642015,0,0.199999999999982,-0.219881634639665,-3.7404009663905e-05
0.09,2.09976242921947,-1.0204962629421e-07,26.2377442054658,-2.28391869429128e-06,1.08427641880706e-06,2.78090507686532e-08,-0.000662308890784822,0,0.199999999999986,-0.213939618781022,-3.79477071904427e-05
0.1,2.36212905142723,-1.18795426229497e-07,26.2355795103321,-2.75085671743569e-06,6.2259562199972e-07,3.63527961974753e-08,-0.000594658147652098,0,0.199999999999981,-0.206033702223686,-3.07729348300933e-05
0.11,2.62447400130123,-1.37987904216141e-07,26.2334093946033,-3.09630766694125e-06,1.72454917683787e-07,4.03021362290255e-08,-0.000482426385902583,0,0.199999999999994,-0.197953335425264,-1.83910325134395e-05
0.12,2.88679721548505,-1.59489508591127e-07,26.2312321932374,-3.30368805504845e-06,-2.30371634228229e-07,3.99595954994437e-08,-0.000331583976342005,0,0.2,-0.191351747672851,-2.91120078497261e-06
0.13,3.14909862070296,-1.82942264822004e-07,26.2290476949954,-3.36980217872009e-06,-5.57154236433085e-07,3.59498981550532e-08,-0.000148048205016892,0,0.200000000000005,-0.18688568372102,1.39436433859083e-05
0.14,3.41137814926799,-2.07814448651336e-07,26.2268571491859,-3.30184451456437e-06,-7.86077443391024e-07,2.91472148139182e-08,6.28262568107746e-05,0,0.20000000000001,-0.184196753603889,3.08109824918313e-05
0.15,3.67363575001432,-2.33439519225911e-07,26.22466246134,-3.11571889899436e-06,-9.01560601995914e-07,2.06098674858486e-08,0.000296143521926651,0,0.200000000000022,-0.182447087782891,4.72718525046697e-05
0.16,3.93587139031156,-2.59051175672942e-07,26.2224652817442,-2.83593153677678e-06,-8.96157898462185e-07,1.15171243000518e-08,0.000548295172028035,0,0.199999999999998,-0.180924265139997,6.21139710776851e-05
0.17,4.19808505048571,-2.83818884193788e-07,26.2202665568463,-2.48788132572452e-06,-7.65356167442612e-07,3.11899987897978e-09,0.000816491792462355,0,0.19999999999997,-0.179358221132878,7.70944289639731e-05
