X_cen,Y_cen,PHI_cen,X_left,Y_left,X_right,Y_right
0.468611761927605,0.063940703868866,0.0239659972045692,0.471586406230927,5.31469917297363,0.467620223760605,-1.68631219863892
0.518604338169098,0.0651390552520752,0.0239660223114291,0.510625779628754,5.31563520431519,0.521263837814331,-1.68502628803253
0.56858691573143,0.0663371682167053,0.0239662813013299,0.549662232398987,5.31657075881958,0.574895143508911,-1.68374073505402
0.61856397986412,0.0675351619720459,0.0239654589853355,0.588699340820313,5.31750679016113,0.628518879413605,-1.68245530128479
0.668545246124268,0.0687332153320313,0.023965983135912,0.627744555473328,5.31844234466553,0.682145476341248,-1.68116986751556
0.718517959117889,0.0699310898780823,0.023967232346403,0.666788041591644,5.31937837600708,0.735761284828186,-1.67988467216492
0.768490552902222,0.0711290240287781,0.0239642053465785,0.705836296081543,5.32031440734863,0.789375305175781,-1.67859947681427
0.818464487791061,0.0723268389701843,0.02396638506245,0.744890570640564,5.32125043869019,0.842989146709442,-1.67731440067291
0.868431389331818,0.0735245943069458,0.0239663831832638,0.783944368362427,5.3221869468689,0.896593749523163,-1.67602944374084
0.918403267860413,0.0747224688529968,0.0239658197460379,0.823006927967072,5.32312297821045,0.95020204782486,-1.67474436759949
0.968373835086823,0.0759202837944031,0.0239660930652662,0.862073481082916,5.32405948638916,1.00380730628967,-1.67345941066742
1.01833885908127,0.0771179795265198,0.0239661465117538,0.901140749454498,5.32499599456787,1.05740487575531,-1.67217469215393
1.0683137178421,0.0783159136772156,0.0239655339957813,0.940209686756134,5.32638311386108,1.11101138591766,-1.67088973522186
1.11828488111496,0.0795137286186218,0.0399239280473139,0.979254186153412,5.32870197296143,1.16461229324341,-1.66960489749908
1.16823202371597,0.0815088748931885,0.0590709051019321,1.01829707622528,5.33102083206177,1.21821010112762,-1.66832005977631
1.21815544366837,0.0844613313674927,0.059322833144652,1.05734610557556,5.33334016799927,1.27175855636597,-1.66516482830048
1.26806807518005,0.0874257683753967,0.0593223844218507,1.0963921546936,5.33565902709961,1.3252934217453,-1.66198527812958
1.31797707080841,0.0903899669647217,0.059320993790109,1.13544034957886,5.33797788619995,1.37882268428802,-1.65880608558655
1.36788523197174,0.0933540463447571,0.059322145994156,1.17449295520782,5.34029769897461,1.43234932422638,-1.6556271314621
1.41778439283371,0.0963176488876343,0.0593220638019542,1.21354353427887,5.34261655807495,1.48586463928223,-1.65244877338409
1.46768462657928,0.0992813110351563,0.0593221689944437,1.25260019302368,5.34493637084961,1.53937947750092,-1.64927041530609
1.51758176088333,0.102244794368744,0.0593226030489544,1.29165947437286,5.34725618362427,1.59288918972015,-1.64609241485596
1.56747150421143,0.105207860469818,0.0593208601995303,1.33071792125702,5.34957599639893,1.64638936519623,-1.64291489124298
1.61736673116684,0.108171164989471,0.0593221788029126,1.36978590488434,5.35189628601074,1.69989371299744,-1.63973724842072
1.6672568321228,0.111134231090546,0.0593222248163764,1.40885496139526,5.35421657562256,1.75339078903198,-1.63655996322632
1.71714287996292,0.114097058773041,0.0593222972078592,1.44792604446411,5.35653686523438,1.80688178539276,-1.63338303565979
1.76703488826752,0.117060244083405,0.0593223547356823,1.48700678348541,5.35885810852051,1.86037755012512,-1.63020575046539
1.81692183017731,0.120023131370544,0.0593229796296459,1.5260888338089,5.36117935180664,1.91386616230011,-1.62702906131744
1.86680924892426,0.122986078262329,0.0593206939894943,1.5651763677597,5.36350059509277,1.9673535823822,-1.62385225296021
1.91670060157776,0.125949144363403,0.0593214354957981,1.60427212715149,5.36582279205322,2.02084350585938,-1.62067544460297
1.96658831834793,0.128912031650543,0.0593229927436769,1.64337015151978,5.36814498901367,2.07432770729065,-1.6174989938736
2.01648074388504,0.131875276565552,0.0713300650301168,1.68240010738373,5.37167501449585,2.12781524658203,-1.61432218551636
2.06633585691452,0.135437488555908,0.0927336817124569,1.72142028808594,5.37538051605225,2.18130350112915,-1.61114549636841
2.11611384153366,0.140066862106323,0.0946784621554307,1.76043832302094,5.37908554077148,2.23467230796814,-1.60627281665802
2.16588711738586,0.144793450832367,0.0946785934343129,1.79946279525757,5.38279151916504,2.28802847862244,-1.60120594501495
2.21565341949463,0.149519383907318,0.0946791227533418,1.83848702907562,5.38649749755859,2.34137558937073,-1.5961400270462
2.26541316509247,0.154244720935822,0.0946784600970269,1.87751126289368,5.39020347595215,2.39471387863159,-1.59107482433319
2.31517577171326,0.158970296382904,0.0946777423896091,1.91654288768768,5.39390993118286,2.44805335998535,-1.58600962162018
2.36493122577667,0.163695156574249,0.0946798777127569,1.95557415485382,5.39761638641357,2.50138354301453,-1.58094525337219
2.4146842956543,0.168419897556305,0.0946778482429278,1.99460864067078,5.40132331848145,2.55470943450928,-1.57588124275208
2.46443843841553,0.173144638538361,0.0946787227473252,2.0336492061615,5.40503072738647,2.60803484916687,-1.57081735134125
2.51418709754944,0.177868902683258,0.0946783913472936,2.07269072532654,5.4087381362915,2.66135263442993,-1.56575417518616
2.56393718719482,0.182593286037445,0.0946781060168527,2.11173844337463,5.41244602203369,2.71467018127441,-1.56069099903107
2.61368680000305,0.187317609786987,0.0946788747248065,2.15079092979431,5.4161548614502,2.76798534393311,-1.55562806129456
2.66343224048615,0.192041575908661,0.0946782256544166,2.1898455619812,5.41986322402954,2.82129454612732,-1.55056571960449
2.71318304538727,0.196766018867493,0.0946782717119837,2.2289092540741,5.42357301712036,2.8746075630188,-1.54550290107727
2.76293194293976,0.20149028301239,0.0946788286409241,2.26797699928284,5.42728281021118,2.92791700363159,-1.54044055938721
