X,Y,Vx,Vy,Phi,r,px2,px1,py1,py2
0,0,0,0,0,0,0.424845891456412,-0.0176002387143736,-8.47495681236772e-05,0.00043686838176054
-4.28053567887286e-07,1.72882160226688e-15,-8.08425834489993e-05,5.75948740152046e-13,-3.80793023674936e-15,-1.1834319007889e-12,0.425338561511475,-0.009391659020155,-8.12306366211821e-05,0.000460960930760226
9.71888333051187e-06,-3.06209577744481e-07,0.00299706294020953,-5.6279119751081e-05,-4.67929443837453e-07,-8.07988627552449e-05,0.425533052806816,-0.0010079175494765,-7.67676999658221e-05,0.000486151986802077
7.04641452991116e-05,-7.94861263886832e-07,0.00947093243631292,-3.13469766884221e-05,-1.16581153208425e-06,-4.40060899511134e-05,0.425577899387873,0.00746075832457694,-7.15896529584031e-05,0.000512393728483772
0.000203042922757264,-8.37922989711011e-07,0.0171602891840282,2.14679174114519e-05,-1.20912876735771e-06,3.34697851837963e-05,0.425544732661224,0.0159713312777393,-6.68246677938589e-05,0.00053944627929917
0.000415104595681074,-4.23200523186332e-07,0.0252944521865742,5.89231940886603e-05,-5.88465896322333e-07,8.57401747510259e-05,0.425462316712735,0.0245068091221399,-6.25041315934754e-05,0.00056736840741075
0.000709445586785502,3.06247439355692e-07,0.0335885769804172,8.60656943331418e-05,4.23660088419133e-07,0.000113572146779452,0.425343334793186,0.0330598137114182,-5.83085574696796e-05,0.000596085609940408
0.00108704489360988,1.29166438692594e-06,0.0419357496388202,0.000110971231847144,1.64103086263988e-06,0.000128706317250408,0.425194002686892,0.0416266899092441,-5.40964875694062e-05,0.000625485031318336
0.0015481967018357,2.53081521631831e-06,0.0502947729369034,0.00013684957594592,2.98796531014806e-06,0.000140697609807807,0.425017790480601,0.0502052429848713,-4.96341790094555e-05,0.000655525372598231
0.00209291437392142,4.0338025501861e-06,0.0586466003557689,0.00016331054963799,4.46021537496983e-06,0.000154118349698079,0.424816944820481,0.0587938304510574,-4.42505553176398e-05,0.000686221346502066
0.00272106715757233,5.7991970681971e-06,0.0669804308349762,0.000188858516618608,6.07691252369638e-06,0.00016946476322911,0.424593228609918,0.0673909351524039,-3.80933328955687e-05,0.000717606502425299
0.00343244127327939,7.81380168607798e-06,0.0752900593990549,0.000212815535338674,7.85215346496332e-06,0.000185614700710775,0.424348427193116,0.075994887460396,-3.15417902815284e-05,0.00074970458146068
0.00422728508003854,1.00557718964163e-05,0.0837141427453275,0.000236922655775752,9.79412491321544e-06,0.000210150070250056,0.424084727863095,0.0846036623349006,-2.47570106804959e-05,0.000782526169716759
0.00510712954890996,1.26417551602281e-05,0.0922654555058376,0.000280279776306679,1.21632796070748e-05,0.000264392703130323,0.423805112029104,0.0932149469991747,-1.79728335706582e-05,0.000816008860957573
0.00607269339945928,1.56826286488849e-05,0.100848664573525,0.000324062801164908,1.50482093346562e-05,0.000309332422713262,0.423513498173756,0.101826753535989,-1.15801014487426e-05,0.00085058509763835
0.00712408112881637,1.91269715679511e-05,0.109426429952918,0.000360254916469573,1.82844185651168e-05,0.000335199942757818,0.423213661926369,0.110437517563345,-5.53623363674892e-06,0.000886474304327271
0.00826114923514673,2.29165169624742e-05,0.117982939514722,0.000392944523712314,2.1714539819705e-05,0.000349715742444037,0.422908704369221,0.11904603467325,3.81258098521325e-07,0.000923472431395784
0.00948364235599413,2.70395258106158e-05,0.12651050186855,0.000426153669381061,2.52692741588483e-05,0.000361208899075911,0.422601012362608,0.127651354350842,6.27541917042711e-06,0.00096135244424213
0.0107912448215882,3.1508508968973e-05,0.13500476765961,0.000460694258650283,2.8943632600239e-05,0.000373983127836501,0.422292419389524,0.136252650451152,1.23712582952264e-05,0.00100002038755695
0.012183607505854,3.63328066137735e-05,0.143462296700255,0.000495511679324975,3.27564968908271e-05,0.000388858672963166,0.421984450428789,0.144849079109268,1.94732739995255e-05,0.00103948154954981
0.0136603519203619,4.1509757336129e-05,0.151880874686461,0.000529424226604361,3.67253835905485e-05,0.000405016961497461,0.421678571849429,0.153439645432274,2.7547983137201e-05,0.00107977283228045
0.0152210796364865,4.70281475743336e-05,0.160258722701825,0.000561936150238124,4.08574357621444e-05,0.000421348879077461,0.421376479032397,0.162023056211868,3.61686445933194e-05,0.00112091862233352
0.0168660150035875,5.29577893579044e-05,0.168771671430821,0.000616942132334726,4.53077293312757e-05,0.000488178833917579,0.4210803655308,0.170597583795621,4.49533233296477e-05,0.00116280778495368
0.0185969941889725,5.9569005588136e-05,0.177435614146658,0.000687739237942681,5.06816591341727e-05,0.000581713483143664,0.420792923842046,0.179161361069373,5.33743419793267e-05,0.0012051513839195
0.0204148070641017,6.68423113782964e-05,0.186126346715702,0.000744442647294147,5.68000174116784e-05,0.000634717545411449,0.420516605890251,0.18771350092775,6.11942303917407e-05,0.00124864707863405
0.0223194466295724,7.46249143811094e-05,0.194796191638632,0.000787875557868901,6.32671252710209e-05,0.000655173340999653,0.420253059912458,0.196253890276941,6.86149127466602e-05,0.00129371043684374
0.0243105953704009,8.28365660442535e-05,0.203426262157244,0.000828025208757669,6.98636950759799e-05,0.000663331181986899,0.42000304719914,0.204782864790791,7.59466952919608e-05,0.00134012171253073
0.0263878113059952,9.14780633111036e-05,0.212008777349536,0.000870359207895471,7.65343855326258e-05,0.000671360145625923,0.419766580873952,0.213300998866627,8.3320470854603e-05,0.00138757987864467
0.0285505993200482,0.000100577037092302,0.220540252572528,0.000915112424363693,8.33075098331503e-05,0.000684149567983432,0.419543151787664,0.221808938663939,9.093962719443e-05,0.00143593850253858
0.0307984387435044,0.00011014895597682,0.229018857609267,0.00096011077680048,9.02337291120871e-05,0.000701748255629664,0.419331995644318,0.23030724845089,9.97367621876156e-05,0.00148518160729092
0.0331307944329218,0.000120187106821147,0.237443379833924,0.00100338442038517,9.7351877775338e-05,0.000722156054645041,0.419132364967099,0.238796266227742,0.000109859228635652,0.001535345253943
0.0355471208728521,0.000130671228480192,0.245812914121636,0.00104422275394216,0.000104679289547336,0.000743315091910569,0.4189438203108,0.24727595616939,0.000120844127777366,0.00158645949965709
0.0380475000085748,0.000141704127513895,0.254304225935127,0.00111757095774404,0.000112422866634542,0.000831827632436557,0.418766521433224,0.255745763046177,0.00013215263041449,0.00163835694364472
0.0406336436785854,0.000153635761471777,0.262934252248626,0.0012063477202274,0.000121393691212225,0.000955417046123662,0.418601240054393,0.264204899693741,0.00014305368234799,0.00169060466529885
0.0433062265550464,0.00016640078869312,0.271580271931444,0.00127543543453612,0.000131346245588622,0.00102595055784687,0.418448578051321,0.272653483835346,0.00015332483737424,0.0017440712646654
0.0460651403936591,0.000179803810411901,0.280195931667502,0.00132818858940268,0.000141775257802678,0.00105540327324771,0.418308456984058,0.281092311612352,0.000163240137293276,0.00179929699883369
0.0489099793896281,0.000193746436883689,0.288763687676151,0.00137666031381376,0.000152402695960845,0.001068939825387,0.418180064143746,0.289522523458941,0.000173191775475841,0.00185604117378094
0.0518402270463865,0.000208225981360513,0.297277036101144,0.00142731003799705,0.00016315155852575,0.00108135825587283,0.41806200008133,0.297945392638426,0.000183358613947693,0.00191394935266237
0.0548553259107909,0.000223272943623504,0.3057337672332,0.00148071154788463,0.000174048467717099,0.00109904828934936,0.417952499978852,0.306362162790217,0.000193952707333962,0.00197284069964022
0.0579547055444504,0.000238906839280823,0.314133229286085,0.00153461334304443,0.000185152828780206,0.00112266239727554,0.417849698785787,0.314773897467824,0.00020605981127215,0.00203268525808998
0.0611377925465429,0.000255123445892054,0.322475340439264,0.00158683417899464,0.000196514815779551,0.00115015776846346,0.417751898057231,0.323181340796539,0.000219956550693923,0.00209351556334174
0.0644040141581939,0.000271903144466367,0.330760282410871,0.00163651291446974,0.000208160825665239,0.00117911702554332,0.417657851024468,0.331584775280281,0.000235092569911002,0.00215536065873487
0.0677534280254946,0.000289347927616356,0.339163636196624,0.00171989049218656,0.00022027542957353,0.00127360830327568,0.417567049640476,0.339983881107668,0.000250811308905299,0.00221805002080742
0.0711877125829503,0.000307872598930826,0.347703419082907,0.00182806684334329,0.000233811363663349,0.00142873425870013,0.417479730395834,0.348378027010479,0.000266190207272702,0.00228102678858838
0.0747075324771241,0.000327468938290252,0.356259246335676,0.00191720158845064,0.000248667750094676,0.00153211584259051,0.417396084073258,0.356767401406844,0.000280842055310529,0.00234518681590505
0.078312787101635,0.000347919891089681,0.364786085915292,0.00198570039738919,0.000264278275602261,0.00158364382992875,0.417315749853782,0.365152793160961,0.000295063272081875,0.00241118342969377
0.0820030885218584,0.00036908761048101,0.373267288354307,0.00204654999408041,0.000280256912915977,0.00160977484273092,0.417237765330941,0.373535264427077,0.000309350905142105,0.00247879731948523
0.0857779462287436,0.000390948865093401,0.381696984881103,0.00210849301937326,0.000296453964164131,0.00162965403267077,0.417160706870177,0.381915946937943,0.000323948196745702,0.00254765289351262
0.0896368351041932,0.000413533009187767,0.390073458181485,0.00217363020589041,0.000312863278378634,0.0016531393676302,0.417082891997054,0.390295890956988,0.000339094677973392,0.00261754885238828
0.0935792210207431,0.00043686838176054,0.39839658061628,0.00224020955550926,0.000329538516392699,0.00168285303793565,0.417002629199642,0.398675924207305,0.000356047982893117,0.00268844342121869
0.09760457179784,0.000460960930761584,0.406666671984788,0.0023058717258282,0.000346537010022295,0.00171741683781057,0.416918472788802,0.40705651973162,0.000375152850411909,0.00276036342443712
0.10171235955147,0.000485798187564301,0.414884234707843,0.0023693785899487,0.0003638946336081,0.00175428147551942,0.416829491457455,0.415437663376988,0.000395728175349185,0.00283333516031361
0.105902678083547,0.000511475486804758,0.423221654828081,0.0024657992369909,0.000381760606616329,0.00185058871482696,0.416735543505101,0.423818720638333,0.000416999793280637,0.00290720205310977
