time,x,y,vx,vy,ax,ay,jx,jy,psi,psi_dot,psi_ddot,throttle,delta,throttle_dot,delta_dot,aty,a_ny,atx,anx
0.0,0.0,0.0,22.222222222222214,2.0294416034035497e-32,-5.0496083933575265e-05,-2.2160305309124716e-08,0.0015012459772378545,2.906754371525662,-2.12765930369566e-33,2.3590607972269173e-32,-1.5010306891981372e-31,0.024991358024691337,6.255963792319477e-34,0.0010733908737250658,0.04964555997552737,-5.699241572894542e-31,5.2423573271709255e-31,4.787576126850651e-64,-4.787576126850651e-64
0.029999998336024323,0.6666666270976737,1.268234714455559e-05,22.22222167934193,0.000953712843047347,-0.00012577605255966693,0.08378397994919756,0.0007150388677714911,1.3398197454903298,1.426368383880389e-05,0.0013993250675179514,0.08944133744567516,0.025023559749116905,0.0014893667166575488,0.003195594527589422,0.025788171844895194,0.052687890422773456,0.031096111851844032,-7.394541437464549e-05,-1.3345542884899663e-06
0.059999996672048646,1.333333205833512,9.47141271139441e-05,22.222219635527576,0.002179173843236643,-0.000129987619246875,0.12667225426460832,0.0006805815903928583,1.2329561118597774,0.00010055545792402215,0.004479509953825061,0.11447984595441513,0.02511942757962695,0.0022630118290941385,0.0035157979511889707,0.020745343053859597,0.027127622552539518,0.0995446540534325,-6.972990445722901e-05,-9.761630921893755e-06
0.08999999500807297,1.9999997040442603,0.000289954690383488,22.222217820831673,0.002408458628348521,-0.00012831771596209286,0.16729376868929163,0.0006462611965980375,1.132754202827166,0.0002878617255981028,0.008049913155187518,0.12281247940985998,0.02522490151231237,0.002885372086191978,0.0031223710137567176,0.014941786438751894,-0.011593132543855023,0.1788869235733554,-5.8433749306084304e-05,-1.9387882796067644e-05
0.11999999334409729,2.6666660893507625,0.0006348015015442034,22.2222162223961,0.0013997073190488314,-0.0001231197542268339,0.20501165870311897,0.0006125170820877796,1.0388608696916115,0.0005837552816519895,0.011647363447143594,0.11693608265804008,0.02531857263752979,0.003333625654494613,0.0023485481470194823,0.009271039248887303,-0.05381854790995011,0.25883022894325775,-5.6320770490270025e-05,-1.6302899864588715e-05
0.14999999168012162,3.3333323008254574,0.001163170354332836,22.222214340984237,-0.0008272910129451973,-0.00011608404824652293,0.2393755771832453,0.0005795583494639615,0.9508767869298745,0.000983256097255092,0.014904938224617267,0.10068903755834487,0.025389029078032976,0.0036117568165379274,0.001521171622774426,0.00439516610716635,-0.09184513246053194,0.331220731966574,-7.791868580768092e-05,1.233072144172921e-05
0.17999999001614594,3.999998240196037,0.001906064221966255,22.22221136084343,-0.00405968660282654,-0.00010787587606059095,0.27015843150049246,0.0005474975233224989,0.8683819345634097,0.0014721872148027505,0.017578937902561202,0.07840245116199189,0.02543466422418564,0.0037436117924430205,0.0008604165533281041,0.0007113580405981218,-0.12048441974541796,0.3906428735698568,-0.00012874477088339756,7.13649786949474e-05
0.20999998835217026,4.666663768729059,0.0028913348773459487,22.222206458180764,-0.007969443391286826,-9.842894136616129e-05,0.2973527401506077,0.0005164485896050324,0.7909598043112764,0.0020309796407116405,0.019552544479495736,0.05419193600362381,0.025460476719354325,0.003764952532480354,0.00045850002643425553,-0.001637429763824164,-0.13714791772355217,0.4345006802061168,-0.00020375575389884837,0.000155822896384959
0.23999998668819458,5.333328709511749,0.004143640607097772,22.22219907853392,-0.012187693208841353,-8.74677638304323e-05,0.32113702527829957,0.00048656029588887626,0.7182172739522701,0.002638300094869239,0.02082136373077931,0.031451561639192195,0.025474231719384777,0.003715829642292439,0.0003095483068300509,-0.002719995438189773,-0.14155944229228146,0.46269648991194356,-0.00029073607333783606,0.0002537643933404347
0.2699999850242189,5.999992853496453,0.005684574977093855,22.222189073546925,-0.01636636627971334,-7.491524690590295e-05,0.34182417053552205,0.00045799778564050147,0.6497984274710563,0.0032740524056591555,0.02146723426879566,0.012569142398694059,0.025483518168074724,0.003634229783673787,0.00035552041904736523,-0.0027560926900990672,-0.13522474592420874,0.47704893880730304,-0.00037575978214027294,0.00035134061905552397
0.29999998336024325,6.666655967218516,0.0075329236105101,22.222176678633122,-0.02022186409554725,-6.104219411216836e-05,0.3598031997122646,0.000430903518591212,0.5853918497877099,0.003921497900558323,0.021626716981872404,-0.0011526286144967256,0.025494183780054476,0.0035515470075567824,0.0005237520987438528,-0.002050023239292066,-0.12078950368866381,0.4805927257499638,-0.00044787864193581773,0.00043733253164028753
0.32999998169626754,7.333317800357993,0.009704998216232955,22.22216238187981,-0.023559249942807985,-4.639343324236827e-05,0.3754840219190482,0.0004053647253874191,0.5247319181618555,0.0045684216806434995,0.02145983270621329,-0.00940878226151072,0.025509896342145028,0.003490046313788153,0.0007475188419845866,-0.0009289815961289623,-0.10139984281962561,0.476883887085447,-0.000501474911882075,0.0005055775624565244
0.3599999800322919,7.999978091945899,0.012214998191682123,22.22214675913429,-0.02627844258794989,-3.161062569230951e-05,0.38925195376333455,0.00038140046780933055,0.4675952809979866,0.005207418779163891,0.021123222856426455,-0.012690843915015036,0.025532321906160366,0.0034621768674484047,0.000972679177791089,0.0003066590330536932,-0.08015138223525486,0.4694033583414085,-0.000536199940978119,0.0005550853991050734
0.3899999783683162,8.666636574701334,0.01507535772017652,22.222130336640994,-0.02836597281259914,-1.726671677207852e-05,0.40143583963719703,0.0003589676331540625,0.413794064135131,0.005835475375354798,0.02075028948518725,-0.012026814613528813,0.025561502279875224,0.003471376637927824,0.001157724382950273,0.0014173024214852621,-0.05967977548673381,0.4611156374628622,-0.0005553727803398946,0.0005886021473903833
