time,x,y,vx,vy,ax,ay,jx,jy,psi,psi_dot,throttle,delta
0.0,0.0,0.0,23.101591747533803,-8.221365485242733e-22,0.0,1.3763051017750246e-22,28.00366582966013,-1.3295223586757683e-10,-2.892263241180094e-27,0.0,0.026984177063486096,-7.672911529019978e-23
0.003931851975795682,0.09083171206622069,1.2148347520021962e-05,23.101426035213056,0.00584057783351834,0.1101062688218712,-5.22748511144755e-13,13.726083253721672,2.765174449639917,1.403569958189677e-05,0.007102643904284272,0.10570664620508806,0.0003808801148840231
0.007863703951591364,0.18166280762354203,3.622462841401855e-05,23.101277800458924,0.0051250036131894414,0.10793785512216317,0.02174451324647289,-0.580755962663473,2.7167025292716747,4.1529746114796216e-05,0.006883211667967534,0.10416341854774089,0.0006887275280255587
0.011795555927387047,0.27248947190745393,0.00010740142210664448,23.099184068298868,0.027227149535785408,0.1055393758633642,0.021363344414209173,-0.6550863373270099,2.649734625635149,0.00012291882594031792,0.03437402083967153,0.10238274667823598,0.0021082344176502144
0.01572740790318273,0.36331174353130624,0.00022504629389419347,23.099041408627905,0.023869789124670183,0.10278645010269125,0.04258124189274848,-0.699775817689513,2.604589057874644,0.0002561642985481873,0.03340571791485532,0.10043541716324397,0.002172264505657107
0.01965925987897841,0.4541297980646546,0.0003882606890930744,23.09706399394195,0.0430411032360069,0.1000365460005711,0.04184506168088964,-0.7437578122687991,2.5411235364146645,0.0004393965140660892,0.05965995040278691,0.09832486541194667,0.00333571336605692
0.023591111854774093,0.5449436690693842,0.0005965968501055073,23.09692933170868,0.03731389970389335,0.09693775885532614,0.0625638850875343,-0.7640647559228405,2.4995427132217634,0.0006706206635567275,0.05796012356291663,0.09613986619613735,0.003182028049463047
0.027522963830569777,0.635753527951348,0.0008492469885813224,23.09506963126287,0.05378326604018316,0.09402816696014897,0.06150072559202302,-0.7840320398138456,2.439728029648844,0.0009479081423517866,0.08295295609728343,0.09385384328680876,0.004112401358382277
0.03145481580636546,0.7265594171350921,0.0011464602820000448,23.094950858510206,0.04620406241962145,0.09077236300566777,0.08174918403509213,-0.7858838695899821,2.401760173273072,0.0012699318792496678,0.08085422933567477,0.09156827106850601,0.003782755579311225
0.03538666778216114,0.8173615002054189,0.0014875201427216695,23.093206690070247,0.060173488628409384,0.08784820886936232,0.08038745655736523,-0.7880223736371387,2.3455868008030833,0.001634720758993197,0.10457283512279732,0.08923295947036382,0.004500175958683316
0.03931851975795682,0.9081597999262622,0.0018722381420272938,23.093095301241764,0.0506836845833308,0.08457558835215499,0.10019418422936788,-0.7761121975550069,2.3111239840381144,0.002040325257265971,0.10175139251601167,0.08695964494701924,0.003997599063741501
0.043250371733752506,0.998954471641345,0.002299982639418022,23.09146259999866,0.062380413667143114,0.08174509231457075,0.09856145136326333,-0.7638140415254144,2.258428920570966,0.0024847654788770985,0.12419684173100583,0.08467872298187981,0.004524269409457442
0.047182223709548186,1.089745545678122,0.002771218767086049,23.09136374820562,0.05147564542002489,0.07856918085553062,0.11795380065645,-0.7423825412251879,2.2272396967902997,0.002966765027353062,0.12098779708615696,0.0825074697485729,0.0038883213683847183
0.05111407568534387,1.1805331645825472,0.0032854099027395476,23.089835362965555,0.061102139397471646,0.0759072157915458,0.11607580496805436,-0.7220000907924687,2.1777680709648677,0.0034843591964481033,0.14217672572432835,0.08035996427318454,0.004243659125549768
0.055045927661139554,1.271317340243762,0.003842563973757928,23.08973898703982,0.04871038206987253,0.07289158588851656,0.13507912404174593,-0.696437111354753,2.149535101340416,0.004035677696607017,0.13827075357368873,0.07835340731344588,0.0034756757662799385
0.058977779636935235,1.3620982046245025,0.004442221035523702,23.08830787062382,0.05648461677398194,0.07043064052695056,0.13297911263854933,-0.6716486115289741,2.102953955645845,0.004618786398007275,0.1582242583897199,0.07638710470150017,0.0036804539999462345
0.06290963161273092,1.4528757756232573,0.00508500021892012,23.08821770279041,0.04307413888544482,0.06760994004795531,0.15161613137277286,-0.6457390284016179,2.077317606869418,0.0052324859438303934,0.15395545714130393,0.07457653131402373,0.0028173402838920342
0.0668414835885266,1.543650169572268,0.0057705360180977695,23.086874204319436,0.04919133422193697,0.06535273997761198,0.1493145233123987,-0.6212200240323379,2.0332828256530484,0.005874902011233912,0.1727126471891409,0.07281400047170061,0.0028896556371193777
0.07077333556432228,1.6344213877883753,0.006498982099724201,23.08677992149361,0.03467742964878101,0.06272484969016454,0.1676052655635636,-0.5971559053084688,2.0098711736508705,0.006544274386415189,0.16778874616023437,0.07121276026785073,0.0019310206108169303
0.07470518754011796,1.7251895350342288,0.007270039942518949,23.085515894836572,0.03934046524215936,0.06065688272532166,0.16511955520282662,-0.5727011714428369,1.9680225083437508,0.007238788862080441,0.18538550341605567,0.06966082494937181,0.0018897504694487962
0.07863703951591364,1.8159546168672012,0.008084425456487798,23.085420668057644,0.024156361096577237,0.058221297225208496,0.1830812119392471,-0.5508592778140633,1.94647068333136,0.007957337685156468,0.18013156920121545,0.06826887350280521,0.0008692844451650033
0.08256889149170933,1.9067167210531086,0.008941931897305777,23.08422568378495,0.02754824989544564,0.056325088445604445,0.18042602440699618,-0.5281950752109823,1.9064737297379164,0.00869820081756452,0.19662398302976736,0.06692727007294018,0.0007308425340198244
0.08650074346750501,1.9974758386748304,0.009842797261070617,23.084119629506848,0.011591269345635731,0.054067727525060796,0.19807315694139227,-0.5075489077441933,1.886430230388598,0.009459729538177942,0.19075839378749476,0.06574419043537165,-0.00035393083743166456
