time,x,y,vx,vy,ax,ay,jx,jy,psi,psi_dot,psi_ddot,throttle,delta,aty,any,atx,anx
0.0,0.0,0.0,22.222222222222218,-3.451178978253854e-37,0.0001995845433963246,0.3341588376173001,0.002004338062488364,5.360219356304439,-1.5709230154236748e-38,-3.4588114794150376e-36,0.47420201501220133,0.02735788221704502,0.007479153682852394,0.3341588376173001,-7.686247732033415e-35,0.0001995845433963246,-1.193697746750029e-72
0.01702076198674472,0.37823917431770804,6.221720386569775e-05,22.222225619303227,0.005687638040851342,0.00018779338743039255,0.4253938828964907,-0.0005005403036543402,-0.4959154028815469,7.033121516685092e-05,0.008071279631157426,0.44366794212283833,0.02722618528824191,0.0075461797658036905,0.24603208589642386,0.17936179700006685,0.0002336999044989121,-4.590651706851956e-05
0.03404152397348944,0.7564783934376531,0.00024621294555669104,22.22223017772312,0.008375307150290726,0.0001803738098258565,0.42483366962322344,8.551393216550338e-07,0.5260520928364141,0.0002690779921350422,0.015103132888043326,0.3869181551991524,0.027182356806379888,0.007670028734301076,0.08920837418038449,0.3356252954428389,0.0003068671866948768,-0.0001264933768690203
0.051062285960234155,1.1347176332643756,0.0005521064301103044,22.22223606552992,0.008724427049148917,0.00017830277287401243,0.43426844156832745,1.2070823505782105e-06,0.49250790704005,0.0005798064416472424,0.02124256328714768,0.3304340812712543,0.027064583133999252,0.007592301709666318,-0.03778881443562754,0.472057256003955,0.0003636319666096614,-0.00018532919373564897
0.06808304794697888,1.5129568558315585,0.0009824131385997564,22.22224255630943,0.007088918317750568,0.000178683982364183,0.44272823628835534,1.4207686297137197e-06,0.46017582282797775,0.0009861061001178828,0.026351612587296687,0.2680356586147067,0.026899902818204754,0.007353902283611722,-0.1428636903764483,0.5855919266648036,0.0003654884115365369,-0.0001868044291723539
0.0851038099337236,1.8911960091712354,0.0015394741767311003,22.222248507312443,0.0038611293082578798,0.00018106573977432378,0.45028868268458944,1.6297337450520838e-06,0.42899542922153255,0.0014698688305877466,0.03036690558563025,0.20381123035565774,0.026712833097502647,0.0069963261274065885,-0.22453223963738025,0.6748209223219697,0.00029831628893210065,-0.00011725054915777687
0.10212457192046831,2.2694350292227568,0.002225464451448018,22.22225271145053,-0.0005545013006865886,0.00018470770289293347,0.4570324300442727,1.9316182859260844e-06,0.39891116567914287,0.002012472005817878,0.03328965747151519,0.14121970861832966,0.026523053731271094,0.006559503130218241,-0.2827387509653651,0.7397711810096378,0.0001662485445255673,1.8459158367366185e-05
0.11914533390721303,2.6476738420902644,0.0030424006257729628,22.222254166666257,-0.005763728660964055,0.00018880519749246585,0.46304466760873275,2.3761921819544923e-06,0.3698725899319919,0.002595778838900822,0.03517423968209031,0.08303003225189289,0.026344579681787942,0.006080098186995079,-0.3186062267259162,0.781650894334649,-1.3929575890817276e-05,0.00020273477338328313
0.13616609589395776,3.0259123664520717,0.003992148746682759,22.222252237266538,-0.011400342805879878,0.000192656607541669,0.46840928177253166,2.96621738346374e-06,0.3418343952888744,0.0032029384967701127,0.0361161263049376,0.03130555844151162,0.026186043547306474,0.0055902739287710355,-0.3341723868087689,0.8025816685813005,-0.0002190796131550754,0.0004117362206967444
0.15318685788070247,3.4041505159518914,0.005076431467349009,22.222246708862354,-0.017139465977792947,0.0001957616033035378,0.4732057297926668,3.6673557394888145e-06,0.31475621999257075,0.003818981635064154,0.036239928600280504,-0.012573775332815156,0.026051650522776176,0.005116895173130327,-0.3321269042743233,0.8053326340669901,-0.0004253714199786155,0.0006211330232821533
0.1702076198674472,3.7823882014362495,0.006296834811009131,22.222237756975147,-0.022706448779975085,0.00019785415952784224,0.4775066594810922,4.4223782938411504e-06,0.2886022936099497,0.004431217915145294,0.035688095830508304,-0.0478592917639687,0.025942405888233513,0.0046811365349168745,-0.31556269115817676,0.793069350639269,-0.000612495760502437,0.0008103499200302792
0.1872283818541919,4.1606253329395075,0.007654814447969561,22.22222585857324,-0.027881700893992865,0.00019888465874931267,0.48137626214560214,5.165980496334849e-06,0.263340965272167,0.00502945073112774,0.03461072537234314,-0.07435930402431529,0.02585730953662561,0.004298441461409042,-0.28775109420765843,0.7691273563532606,-0.0007661212338064885,0.0009650058925558012
0.20424914384093662,4.538861821353719,0.009151701478921413,22.2222116770408,-0.03250193455184291,0.00019896989110100387,0.4848693118764633,5.836910701793874e-06,0.2389441563882868,0.005606030755101233,0.033156791799912586,-0.09235032591743975,0.025794328069100803,0.0039787726739206304,-0.25194793403276483,0.7368172459092281,-0.0008786899859288365,0.0010776598770298404
0.22126990582768136,4.917097579752478,0.010788707736262773,22.222195946627018,-0.036458392530440364,0.00019832951518626379,0.48803081845096985,6.386770576499896e-06,0.2153867766921782,0.00615577409006898,0.03146697953866505,-0.10248073068670217,0.0257510646742177,0.0037270901496189897,-0.21123456670574794,0.6992653851567178,-0.0009489059765817218,0.0011472354917679856
0.23829066781442607,5.295332524364493,0.012566930630105519,22.22217937483525,-0.03969268111838628,0.00019722409120486914,0.4908962034738795,6.784117270545835e-06,0.1926461375425239,0.006675772983699248,0.0296681915494205,-0.10567297067944749,0.025725132780259435,0.0035439927694961588,-0.16839567086431417,0.6592918743381937,-0.0009803859753254813,0.0011776100665303504
0.2553114298011708,5.6735665752134175,0.014487357576958168,22.222162572794335,-0.04219083779719975,0.00019590477639064231,0.4934918993311219,7.0152199779381814e-06,0.1707013906694974,0.00716512745098305,0.02786971057393079,-0.10302946212399207,0.025714293902728575,0.003426462914718115,-0.1258333398994934,0.6193252392306153,-0.0009799416618889744,0.0011758464382796167
