time,x,y,vx,vy,ax,ay,jx,jy,psi,psi_dot,psi_ddot,throttle,delta,aty,any
1.0026565864372836,22.264520868335513,0.16663124669305887,22.191114002927005,-0.04507905098729492,-0.029677477324480797,0.5886644924551151,-0.0004893079145144069,-0.03129247786655756,0.021313799094496648,0.026622013413380365,-0.004708512467954544,0.0030976302046991067,0.0030626689674762694,-0.002107642188660472,0.5907721346437755
1.0208867061906888,22.66898613302312,0.17452904645464934,22.190551045722884,-0.04510517430587603,-0.029689147055040412,0.5878619332906209,-0.0007943135781456304,-0.06139941924589515,0.021798315660868515,0.026535955776306863,-0.004942035089695191,0.0030237713116943706,0.0029888143258533554,-0.0009855479105616424,0.5888474812011825
1.039116825944094,23.073437275337092,0.18262193198019863,22.189987889929075,-0.045114984300159436,-0.029701559373252633,0.5867905255091714,-0.0005614727841075295,-0.05144826055303438,0.02228118687453706,0.026441825630359017,-0.005173277254962731,0.0029500274359032545,0.0029150964754597664,4.673498388863919e-05,0.5867437905252828
1.057346945697499,23.477874204584595,0.19090955425355124,22.18942462551259,-0.045103470337170104,-0.02971458232918187,0.5856299882862621,-0.0008710223148474924,-0.08058721595872904,0.02276233770715455,0.026347336848555787,-0.005405418783917624,0.002876441195846358,0.002841556580021759,0.000997743202243122,0.584632245084019
1.0755770654509043,23.882296831894294,0.19939150468316202,22.188861161384242,-0.04507860634403936,-0.02972843407924687,0.5842157500736398,-0.0006430481419706945,-0.06996887674110755,0.02324168931881785,0.02624474276686277,-0.005642819658245891,0.002803052287192484,0.002768232944703545,0.0018747966034785013,0.5823409534701613
1.0938071852043094,24.286705070124963,0.20806732010303158,22.188297584435986,-0.04503511480398072,-0.029742960542896026,0.5827260127072518,-0.0009546896592820849,-0.0981758385629446,0.023719164579405243,0.026141598292322404,-0.005885182877602935,0.0027298975918917147,0.0026951610872515495,0.0026884504644186444,0.5800375622428331
1.1120373049577146,24.691098834012948,0.2169364826189867,22.187733801648204,-0.04498058479620446,-0.029758356262967602,0.5809969056888363,-0.0007290333899280999,-0.08696245137155728,0.024194681236524355,0.026030167589603987,-0.006134228523503578,0.0026570112267445124,0.0026223737773951716,0.003446476398412483,0.5775504292904239
1.1302674247111197,25.095478040082543,0.2259984243708252,22.18716989808911,-0.044909455449040035,-0.02977444358375839,0.5792049693658464,-0.0010401057730437591,-0.11427387650789769,0.024668158259969604,0.025917942851165957,-0.0063871642820123205,0.0025844245844352785,0.002549901087802822,0.004159167918063274,0.5750458014477832
1.148497544464525,25.499842606795426,0.23525252729489493,22.186605780018066,-0.04482894053776283,-0.029791394486168372,0.5771871979035094,-0.0008143975815953924,-0.1025371244857868,0.025139509893004706,0.025797290050112474,-0.006644148942786418,0.002512166400017264,0.0024777704794774163,0.004832893368881388,0.572354304534628
1.16672766421793,25.904192454463374,0.2446981276460118,22.186041531713396,-0.044733246999299744,-0.029809012040488414,0.5751183167806738,-0.001122666158926926,-0.12898947437235714,0.025608652454526693,0.025675695589393043,-0.006901004112674551,0.002440262856314959,0.0024060069267707886,0.005476268078769292,0.5696420487019045
1.1849577839713352,26.308527505398587,0.25433451567859955,22.185477059627818,-0.044629274492007404,-0.029827451084690603,0.5728363478074733,-0.000895182460661657,-0.11679846811360986,0.02607549891093794,0.025545677787326877,-0.00715736844732435,0.00236873772650191,0.0023346330748515542,0.006093299284088944,0.5667430485233843
1.2031879037247404,26.712847683827228,0.26416093993303,22.184912447928404,-0.044511083848015186,-0.02984650263254852,0.5705140541603567,-0.001199162762578719,-0.1424274577130123,0.0265399657839743,0.02541473622156511,-0.0074086459904319025,0.0022976125427919465,0.0022636694160981883,0.0066903561977400584,0.5638236979626167
1.2214180234781455,27.117152916038226,0.2741766068393688,22.18434760380485,-0.04438534250265193,-0.02986631145212344,0.5679906454207538,-0.0009689980126582002,-0.12984696238989984,0.027001967927351628,0.02527555678009456,-0.007654757203321932,0.002226906776569474,0.0021931344706907804,0.007268907931429676,0.5607217374893242
1.2396481432315507,27.521443130295328,0.28438068477817596,22.18378261162062,-0.04424605772388231,-0.02988666420136886,0.5654367914205167,-0.0012680117149760591,-0.1546868054924878,0.027461425268628808,0.02513564194056551,-0.007891370845365208,0.00215663801609567,0.0021230449590549285,0.007833174807477482,0.5576036166130393
1.2578782629849559,27.925718256981686,0.29477230361287476,22.183217379502917,-0.044099743073072586,-0.029907702212699325,0.5626930433013475,-0.001035023075094208,-0.14177612261468805,0.027918257569687004,0.024987835509035484,-0.008119170132407585,0.0020868221314277948,0.0020534159580132294,0.00838245636115148,0.5543105869401961
1.276108382738361,28.32997822850809,0.3053505585387294,22.18265199201411,-0.04394043135729934,-0.02992921427602383,0.5599278680106915,-0.0013290675498652872,-0.16585895837021858,0.028372390838475314,0.02483961505294139,-0.008334448525907411,0.0020174734207058943,0.0019842610370130642,0.008919331675697454,0.551008536334994
1.2943385024917662,28.734222979451133,0.31611450955142234,22.18208635816518,-0.04377454210393598,-0.02995134320809476,0.5569833023009073,-0.0010936818455964449,-0.1526715212280553,0.02882375195893778,0.024683959519623717,-0.008538824686969926,0.0019486047362041537,0.0019155923745831516,0.009441580575160572,0.5475417217257468
1.3125686222451713,29.138452446456025,0.32706318509959176,22.181520562520138,-0.043596189068206136,-0.029973884331741165,0.554025522683054,-0.0013832039165710761,-0.1760271027645435,0.02927227471157518,0.0245282874597478,-0.008729296774714568,0.0018802275917339311,0.0018474208577010434,0.009950810031253319,0.5440747126518007
1.3307987419985765,29.54266656836689,0.3381955814980804,22.18095451477617,-0.04341173318690971,-0.0299969846711588,0.5508981833519131,-0.0011461733268272713,-0.1626106737788076,0.029717894250778514,0.024365687268491597,-0.008908354721400249,0.0018123522548333518,0.001779756167946289,0.01044398232824007,0.540454201023673
1.3490288617519817,29.946865286123426,0.3495106663992965,22.18038829921139,-0.04321539897111361,-0.030020448238658803,0.5477651020922694,-0.0014318260006828394,-0.18526631586648748,0.030160552752336523,0.024203486712993924,-0.009073585859363114,0.00174498782777173,0.0017126068583898828,0.010922368603260518,0.5368427334890088
1.3672589815053868,30.351048542882843,0.36100737815973727,22.179821825969587,-0.04301350101165317,-0.03004442692750305,0.5444716689403185,-0.0011939996292946058,-0.17166358640876156,0.030600193780380917,0.02403486215487361,-0.009228145175755941,0.0016781423210498838,0.0016459804245006115,0.011382708733482325,0.5330889602068362
1.385489101258792,30.755216283910517,0.3726846291440591,22.179255178754886,-0.04280038268445458,-0.030068733701955227,0.541179289571349,-0.0014764375296687365,-0.1936443154483704,0.03103676762751503,0.023867026329682246,-0.009369992688396228,0.0016118227221855912,0.0015798833713271275,0.01182642224726481,0.5293528673240842
1.4037192210121971,31.159368456693812,0.3845413050530145,22.178688267951294,-0.04258230682400922,-0.03009352444073895,0.5377351948348581,-0.0012385900561754219,-0.17989369286179294,0.031470225646467974,0.023693229977277623,-0.009502690802467361,0.001546035061505052,0.0015143212781675137,0.012250433107938892,0.5254847617269192
1.4219493407656023,31.56350501082749,0.3965762680720786,22.178121176458845,-0.04235372895927697,-0.030118620036296978,0.5342983352010099,-0.0015183317019632334,-0.2012225193640582,0.03190052536585181,0.023520555947065123,-0.009624336549658918,0.0014807844756914346,0.0014492988610835538,0.012656595269319807,0.52164173993169
1.4401794605190075,31.96762589812027,0.4087883561680894,22.177553814771212,-0.04212084432914906,-0.0301441785875359,0.530717874813422,-0.0012810648467846178,-0.18735891988894948,0.032327624867456994,0.02334232436158291,-0.009738660062027052,0.0014160752691285766,0.0013848200330567437,0.013042220122571958,0.5176756546908501
1.4584095802724126,32.37173107247608,0.4211763860921155,22.17698626483827,-0.041878206489907456,-0.030170027268863378,0.5271502721927762,-0.0015584277559013487,-0.20805715505470318,0.03275148775486879,0.02316548206872821,-0.009843697320440502,0.0013519109726719387,0.0013208879613229472,0.013409694536233552,0.5137405776565427
1.4766397000258178,32.775820489994395,0.43373915265107466,22.176418437221148,-0.04163192365464482,-0.030196324370503583,0.523446706245418,-0.0013221393421967527,-0.19411268067872126,0.033172077644432287,0.022983420799647103,-0.0099431658388218,0.0012882943993505894,0.00125750512140623,0.013756749473712023,0.509689956771706
1.494869819779223,33.17989410884863,0.4464754315726238,22.175850412857354,-0.04137663210926073,-0.030222901638892668,0.5197611103761512,-0.0015972362870806467,-0.214200235761505,0.033589363044401715,0.02280295186078883,-0.01003490908259641,0.0012252276965772182,0.0011946733475126305,0.014086260939710887,0.5056748494364404
