time,x,y,vx,vy,ax,ay,jx,jy,psi,psi_dot,throttle,delta,aty,any
0.0,0.0,0.0,23.10159175,5.172481112993138e-23,-0.03773941641703356,3.1952569188552504e-23,6.096561555294732e-05,-5.6172863863904405e-25,1.2423054667257225e-30,8.01297361579897e-23,-9.517354808702834e-24,9.350918859880724e-24,-1.819171882568539e-21,1.8511244517570916e-21
0.011339938437689361,0.2619682017077126,5.425859582871001e-25,23.101163787341157,3.109551397402869e-23,-0.03773872507070637,3.194619922037165e-23,0.04500815263628358,1.6721292045056837,8.267081228338135e-25,6.58389367187425e-23,0.0015546577239235236,0.0005452910210376928,-1.4890098615036887e-21,1.5209560607240603e-21
0.022679876875378722,0.5239315504341249,8.671535693514395e-25,23.100735840361963,1.7954250804802997e-23,-0.036718637056854395,0.037923684477913874,0.06151539271034757,2.8174912234539646,1.5777082892161263e-24,6.656034512080505e-23,0.0026729302484552048,0.0013083977022511325,0.037923684477913874,1.5375929500790428e-21
0.03401981531306808,0.7858901772417225,5.774701184363444e-06,23.100331013173676,0.0008601044946197978,-0.03634356353809512,0.06390035404539608,0.04553388940559019,1.9153919967945274,6.59689631244789e-06,0.001146080853172715,0.0035074709964196763,0.0021031050060097358,0.03742550696924587,0.026474847076150217
0.045359753750757445,1.0478441305523694,1.9115775471972094e-05,23.09991159517238,0.0008488058900611245,-0.0356859340514785,0.08136453913329955,0.051005291428803785,2.3919187954242482,2.13241676757714e-05,0.0014460484851208533,0.004134576291918073,0.002828513457028926,0.0479609469646749,0.03340359216862465
0.05669969218844681,1.3097934941891132,4.4129847837488256e-05,23.099521688420815,0.0019478528666051933,-0.03518676980849704,0.11814877782152222,0.04220862760428531,1.9815623616950715,4.8305295438511836e-05,0.003283784492985592,0.0045948627350842,0.003436245166901447,0.04229492670570159,0.07585385111582063
0.06803963062613616,1.5717383327159502,8.34388752138043e-05,23.099113708633435,0.001808049620199604,-0.034728647574334595,0.12630612951742845,0.041763048005087504,2.1117008787802685,8.937316279834329e-05,0.00394721507716377,0.004914455210499209,0.003910572928068257,0.03512895961759024,0.09117716989983822
0.07937956906382553,1.8336787030427646,0.00014021782928621472,23.098734208830635,0.002744573345492291,-0.034239589021801124,0.16604189374988776,0.0361478650821957,1.954122706603224,0.00014689492053310418,0.006161896456576457,0.00511514575840537,0.004255834890670809,0.023709885277092856,0.1423320084727949
0.09071950750151489,2.095614668032203,0.0002174028688200772,23.098337542527172,0.0023457868990134248,-0.033908818444962595,0.1706253919025714,0.03306043360575053,1.9135349644649848,0.0002223727011570183,0.0071317349739182,0.0052184578539637705,0.004488074311073378,0.005894170211162581,0.1647312216914088
0.10205944593920425,2.357546266486464,0.00031763940733238276,23.097965540427005,0.0028782524001639835,-0.03348978245817607,0.2094406311406858,0.028943685726040835,1.8792848165132967,0.0003168633251196565,0.009493661557058384,0.005246507121623947,0.004629266987555754,-0.009843636356725324,0.21928426749741114
0.11339938437689362,2.6194735509750156,0.000443908000373397,23.09757861811557,0.002122534438436893,-0.03325237921637633,0.21324734015486166,0.025017103521321155,1.7620378532657504,0.0004312706321348818,0.01066131326964325,0.005221350447733019,0.004703265479785241,-0.03300318126308208,0.24625052141794374
0.12473932281458297,2.8813965461871653,0.0005985411298185276,23.0972118937836,0.002129744312621476,-0.0329223976305339,0.24940343270250967,0.021711272313083996,1.782332248869519,0.0005656580081463074,0.012999373135652526,0.0051638004787111095,0.0047329869705132225,-0.05084584309801484,0.3002492758005245
0.13607926125227232,3.143315291060166,0.00078442866516956,23.096832570090992,0.0009693569773490913,-0.03275997023350777,0.2536704161102392,0.017839794464345023,1.637507456421365,0.0007202786540258937,0.01424531284041683,0.005092248232819005,0.004738567090884147,-0.07535118947343558,0.3290216055836748
0.1474191996899617,3.405229798224339,0.0010037046573119748,23.096469214874,0.00042078861295062354,-0.032517793288600494,0.2865419001966608,0.015090763957505169,1.6768658647565347,0.0008944584547298455,0.016434360062186435,0.005021768443353041,0.004736290834004091,-0.09303379104578288,0.3795756912424437
0.15875913812765105,3.6671400924351114,0.0012591057794601316,23.096095227383177,-0.001140637948818976,-0.03241771356499615,0.2917015274594429,0.011674526320156734,1.5290168553328816,0.0010878698985665159,0.01765104094970994,0.00496361559966749,0.004738148110429922,-0.11596859517749786,0.40767012263694075
0.17009907656534043,3.9290461756486645,0.0015526264757007616,23.09573352849766,-0.0022093648470856665,-0.03225301646908097,0.32121981421598933,0.009409880983801943,1.5700152183930423,0.0012993246328127375,0.0196052278272585,0.004925116474365551,0.004751875610206745,-0.13157730344786017,0.4527971176638495
0.18143901500302978,4.1909480593177975,0.001886825937194693,23.095362750559637,-0.004124794990610789,-0.03220429862287155,0.3273092793050679,0.006600620252612135,1.430530878863625,0.001528046396588775,0.020708660524563906,0.004909905435370623,0.00478135427248,-0.1509647475879301,0.478274026892998
0.19277895344071913,4.4528457359945435,0.0022635879040395672,23.095001201678105,-0.005633226734902548,-0.032103315214450596,0.35366407841504366,0.00481256783568813,1.4653635140456454,0.0017725312938391376,0.02237671082416101,0.004918418519784409,0.00482724036812342,-0.16312608495855843,0.5167901633736021
0.2041188918784085,4.714739205420118,0.0026852892488467496,23.09463179245482,-0.007824474512633463,-0.03209515017690374,0.36054354338129546,0.0026420770687158885,1.3387310959880354,0.002031708692758785,0.023310681696241224,0.004948552079171145,0.004887720749514952,-0.17780806722451184,0.5383516106058073
